element,atomic_number,Etot,Etot/atomic_number^2,Ekin,Ekin/atomic_number^2,Ecoul,Ecoul/atomic_number^2,Eenuc,Eenuc/atomic_number^2,Exc,Exc/atomic_number^2,e_1s,e_1s/atomic_num^2,ENMAX(eV),EAUG(eV),EAUG/ENMAX,ZVAL,EATOM(eV),EATOM/atomic_num^2,EATOM/ZVAL,EATOM/ZVAL^2,FirstIonizationEnergy(eV),Electron affinity (eV),MendeleevNumber,AtomicWeight,CovalentRadius,Electronegativity(Pauling),Electronegativity(Rahm),NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,valence_energy_avg,valence_energy_min,valence_energy_max,valence_energy_range,weighted_valence_energy,atom_radius,molar_vol,heat_fusion,melting_point,boiling_point,heat_cap,Thermal conductivity,electric_pol,GGAU_Etot,mus_fere,FERE correction,is_s,is_p,is_d,is_ds,is_f,Row_1,Row_2,Row_3,Row_4,Row_5,Row_6,Row_7,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column,Row,magnetic_electrons,magnetic_moment
H,1,-12.12732572,-12.12732572,11.56557386,11.56557386,7.696114738,7.696114738,-25.06165952,-25.06165952,-6.327327587,-6.327327587,-6.353069558,-6.353069558,700,1000,1.428571429,1,12.4943,12.4943,12.4943,12.4943,13.59792237,0.754197571,92,1.00794,31,2.2,13.6,1,0,0,0,1,1,0,0,0,1,6.615,7.853,0,1,0,0,0,-6.353069558,-6.353069558,-6.353069558,0,-6.353069558,25,11.42,558,14.01,20.28,26.64477586,0.1805,12.44444643,-4.027581151,-3.934404791,0.09317636,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1.73
D,1,-12.12732572,-12.12732572,11.56557386,11.56557386,7.696114738,7.696114738,-25.06165952,-25.06165952,-6.327327587,-6.327327587,-6.353069558,-6.353069558,700,1000,1.428571429,1,12.4943,12.4943,12.4943,12.4943,13.59792237,0.754197571,92,2.014101778,31,2.2,13.6,1,0,0,0,1,1,0,0,0,1,6.615,7.853,0,1,0,0,0,-6.353069558,-6.353069558,-6.353069558,0,-6.353069558,25,11.42,558,14.01,20.28,26.64477586,0.1805,12.44444643,-4.027581151,-3.934404791,0.09317636,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1.73
He,2,-77.13981734,-19.28495434,75.31899464,18.82974866,54.31719231,13.57929808,-180.2907811,-45.07269528,-26.48522319,-6.621305798,-15.522055,-3.88051375,478.896,1180.948,2.465980088,2,78.7251,39.36255,39.36255,19.681275,24.58715795,-0.497484965,98,4.002602,28,1.715102041,24.6,2,0,0,0,2,0,0,0,0,0,12.305,18.098,0,1,0,0,0,-15.522055,-15.522055,-15.522055,0,-15.522055,150.9770115,21,20,0.95,4.22,26.64477586,0.1513,12.44444643,-4.027581151,-3.934404791,0.09317636,0,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18,1,0,0
Li,3,-199.6008243,-22.17786937,196.9419726,21.8824414,108.5939757,12.0659973,-460.1728685,-51.13031872,-44.96390415,-4.99598935,-51.11833059,-5.67981451,271.649,428.394,1.577012984,3,202.7858,67.59526667,67.59526667,22.53175556,5.391493305,0.618048373,1,6.941,128,0.98,5.4,1,0,0,0,1,1,0,0,0,1,16.59333333,0,0,1,0,0,0,-2.871889704,-2.871889704,-2.871889704,0,-2.871889704,145,13.02,3000,453.69,1615,24.86,85,24.33,-1.86,-1.652959195,0.207040805,1,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,1,1.73
Be,4,-393.1285843,-24.57053652,389.3792634,24.33620396,193.6160065,12.10100041,-907.6911362,-56.73069601,-68.43271797,-4.277044873,-104.9382892,-6.558643075,308.75,531.926,1.722837247,4,398.0824,99.5206,99.5206,24.88015,9.659499731,-0.497484965,67,9.012182,96,1.57,9.3,2,0,0,0,2,0,0,0,0,0,7.89,0,0,1,0,0,0,-5.598579452,-5.598579452,-5.598579452,0,-5.598579452,105,4.85,7950,1560,2742,16.443,190,5.6,-3.75,-3.397209262,0.352790738,1,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,0,0
B,5,-662.4393746,-26.49757498,657.455582,26.29822328,313.0126304,12.52050522,-1537.023914,-61.48095656,-95.88367326,-3.83534693,-178.6249817,-7.144999268,269.245,535.514,1.98894687,3,71.1703,14.23406,23.72343333,7.907811111,8.29763464,0.279721286,72,10.811,84,2.04,11.4,2,1,0,0,3,0,5,0,0,5,7.1725,1.524,0,0.666666667,0.333333333,0,0,-6.548474523,-9.37979205,-3.717156995,5.662635055,-7.492247032,85,4.39,50000,2349,4200,11.087,27,12.44444643,-4.027581151,-3.934404791,0.09317636,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13,2,1,1.73
C,6,-1018.406512,-28.28906978,1012.002094,28.11116928,479.6822351,13.32450653,-2381.415678,-66.1504355,-128.6751352,-3.574309311,-270.6911968,-7.519199911,273.901,439.243,1.603656066,4,147.152,24.52533333,36.788,9.197,11.26077946,1.262122465,77,12.0107,76,2.55,13.9,2,2,0,0,4,0,4,0,0,4,5.64,4.496,0,0.5,0.5,0,0,-9.524692681,-13.62925818,-5.420127181,8.209130999,-9.524692681,70,5.29,12779.02174,3800,4300,6.115,140,12.44444643,-4.027581151,-3.934404791,0.09317636,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14,2,2,2.83
N,7,-1470.095577,-30.00195055,1462.114777,29.83907708,702.0495474,14.32754178,-3467.172221,-70.75861676,-167.0876804,-3.409952661,-381.2723656,-7.781068686,279.68,384.743,1.375654319,5,264.5103,37.78718571,52.90206,10.580412,14.53381596,-0.070477037,82,14.0067,71,3.04,16.9,2,3,0,0,5,0,3,0,0,3,14.76875,6.437,0,0.4,0.6,0,0,-12.82265827,-18.39900602,-7.246310523,11.1526955,-11.70738872,65,13.54,360,63.05,77.36,29.124,0.02583,1.1,-8.31,-8.51,-0.2,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,2,3,3.87
O,8,-2026.515663,-31.66430723,2016.823076,31.51286056,988.6196493,15.44718202,-4820.567224,-75.32136288,-211.3911642,-3.302986941,-510.43785,-7.975591406,282.841,412.352,1.457893304,6,432.2909,54.0363625,72.04848333,12.00808056,13.61761448,1.46111303,87,15.9994,66,3.44,18.6,2,4,0,0,6,0,2,0,0,2,9.105,0,0,0.333333333,0.666666667,0,0,-16.45939201,-23.71096794,-9.207816089,14.50315185,-14.04220004,60,17.36,222,54.8,90.2,29.378,0.02658,0.802,-4.99,-4.76,0.23,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,2,2,2.83
F,9,-2696.638799,-33.29183702,2685.114314,33.14955943,1347.926494,16.64106783,-6467.842995,-79.84991352,-261.8366389,-3.232551098,-658.2268616,-8.126257551,289.825,475.024,1.639002847,7,659.4942,73.27713333,94.21345714,13.45906531,17.42233803,3.40118966,93,18.9984032,57,3.98,23.3,2,5,0,0,7,0,1,0,0,1,9.7075,1.97,0,0.285714286,0.714285714,0,0,-20.44207772,-29.57494004,-11.30921539,18.26572465,-16.52799386,50,11.2,260,53.53,85.03,31.304,0.0277,0.557,-1.86,-1.703786777,0.156213223,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17,2,1,1.73
Ne,10,-3489.410781,-34.89410781,3475.946206,34.75946206,1788.508852,17.88508852,-8435.208805,-84.35208805,-318.6570338,-3.186570338,-824.6643259,-8.246643259,343.606,589.427,1.71541533,8,955.3367,95.53367,119.4170875,14.92713594,21.56493679,-1.202255331,99,20.1791,58,1.715102041,28.3,2,6,0,0,8,0,0,0,0,0,12.64,13.088,0,0.25,0.75,0,0,-24.77383109,-35.99546663,-13.55219554,22.44327109,-19.16301331,150.9770115,13.23,340,24.56,27.07,26.64477586,0.0491,12.44444643,-4.027581151,-3.934404791,0.09317636,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18,2,0,0
Na,11,-4393.007828,-36.30584982,4378.218739,36.18362594,2169.631772,17.93084109,-10572.8854,-87.37921818,-367.9729638,-3.041098874,-1026.412809,-8.482750488,700,1000,1.428571429,9,1307.8686,118.8971455,145.3187333,16.14652593,5.138605114,0.547927867,2,22.98976928,166,0.93,5.1,1,0,0,0,1,1,0,0,0,1,29.24333333,0,0,1,0,0,0,-2.814065509,-2.814065509,-2.814065509,0,-2.814065509,180,23.78,2600,370.87,1156,28.23,140,24.11,-1.23,-1.064032623,0.165967377,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,1,1.73
Mg,12,-5418.859293,-37.63096731,5402.589578,37.51798318,2603.402848,18.07918644,-13004.29833,-90.30762729,-420.5533622,-2.92050946,-1250.993604,-8.687455583,265.574,458.128,1.725048386,8,1056.57,88.0475,132.07125,16.50890625,7.645722051,-0.414570804,68,24.305,141,1.31,7.6,2,0,0,0,2,0,0,0,0,0,22.89,0,0,1,0,0,0,-4.773611855,-4.773611855,-4.773611855,0,-4.773611855,150,14,8700,923,1363,24.869,160,10.6,-1.54,-0.99,0.55,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,0,0
Al,13,-6566.531264,-38.85521458,6548.787154,38.75021985,3065.926834,18.1415789,-15706.5688,-92.93827692,-474.6764557,-2.808736424,-1500.872417,-8.880901876,294.838,375.967,1.275164667,3,53.5387,4.118361538,17.84623333,5.948744444,5.985365981,0.432832648,73,26.9815386,121,1.61,9.1,2,1,0,0,3,0,5,0,0,5,16.48,0,0,0.666666667,0.333333333,0,0,-5.298437862,-7.80648412,-2.790391603,5.016092517,-6.134453281,125,10,10700,933.47,2792,24.2,235,6.8,-3.74,-3.02,0.72,0,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13,3,1,1.73
Si,14,-7842.277896,-40.01162192,7822.939934,39.91295885,3585.584882,18.29380042,-18718.73097,-95.50372944,-532.0717456,-2.714651763,-1773.758593,-9.04978874,380.146,472.845,1.243851047,4,103.0669,7.361921429,25.766725,6.44168125,8.151498431,1.389521109,78,28.0855,111,1.9,10.8,2,2,0,0,4,0,4,0,0,4,20.44,0.773,0,0.5,0.5,0,0,-7.502614571,-10.83391411,-4.171315032,6.662599078,-7.502614571,110,12.06,50200,1687,3173,19.789,150,5.53,-5.42,-4.992774812,0.427225188,0,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14,3,2,2.83
