element,atomic_number,Etot,Ekin,Ecoul,Eenuc,Exc,e_1s,e_2s,e_2p,e_3s,e_3p,e_3d,e_4s,e_4p,e_4d,e_4f,e_5s,e_5p,e_5d,e_5f,e_6s,e_6p,e_6d,e_7s,occ_1s,occ_2s,occ_2p,occ_3s,occ_3p,occ_3d,occ_4s,occ_4p,occ_4d,occ_4f,occ_5s,occ_5p,occ_5d,occ_5f,occ_6s,occ_6p,occ_6d,occ_7s
H,1,-12.12732572,11.56557386,7.696114738,-25.06165952,-6.327327587,-6.353069558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,1,-12.12732572,11.56557386,7.696114738,-25.06165952,-6.327327587,-6.353069558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He,2,-77.13981734,75.31899464,54.31719231,-180.2907811,-26.48522319,-15.522055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li,3,-199.6008243,196.9419726,108.5939757,-460.1728685,-44.96390415,-51.11833059,-2.871889704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Be,4,-393.1285843,389.3792634,193.6160065,-907.6911362,-68.43271797,-104.9382892,-5.598579452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,5,-662.4393746,657.455582,313.0126304,-1537.023914,-95.88367326,-178.6249817,-9.37979205,-3.717156995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,6,-1018.406512,1012.002094,479.6822351,-2381.415678,-128.6751352,-270.6911968,-13.62925818,-5.420127181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,7,-1470.095577,1462.114777,702.0495474,-3467.172221,-167.0876804,-381.2723656,-18.39900602,-7.246310523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,8,-2026.515663,2016.823076,988.6196493,-4820.567224,-211.3911642,-510.43785,-23.71096794,-9.207816089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,9,-2696.638799,2685.114314,1347.926494,-6467.842995,-261.8366389,-658.2268616,-29.57494004,-11.30921539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ne,10,-3489.410781,3475.946206,1788.508852,-8435.208805,-318.6570338,-824.6643259,-35.99546663,-13.55219554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na,11,-4393.007828,4378.218739,2169.631772,-10572.8854,-367.9729638,-1026.412809,-56.14800159,-28.86137586,-2.814065509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
